Match Number,Round Number,Date,Location,Home Team,Away Team,Result
1168,23,2025-04-10 23:10:00,Gainbridge Fieldhouse,Indiana Pacers,Cleveland Cavaliers,
1169,23,2025-04-10 23:40:00,Barclays Center,Brooklyn Nets,Atlanta Hawks,
1170,23,2025-04-11 01:40:00,FedExForum,Memphis Grizzlies,Minnesota Timberwolves,
1171,23,2025-04-11 23:10:00,Little Caesars Arena,Detroit Pistons,Milwaukee Bucks,
1172,23,2025-04-11 23:10:00,Gainbridge Fieldhouse,Indiana Pacers,Orlando Magic,
1173,23,2025-04-11 23:10:00,Wells Fargo Center,Philadelphia 76ers,Atlanta Hawks,
1174,23,2025-04-11 23:40:00,TD Garden,Boston Celtics,Charlotte Hornets,
1175,23,2025-04-11 23:40:00,Madison Square Garden,New York Knicks,Cleveland Cavaliers,
1176,23,2025-04-12 00:10:00,United Center,Chicago Bulls,Washington Wizards,
1177,23,2025-04-12 00:10:00,Smoothie King Center,New Orleans Pelicans,Miami Heat,
1178,23,2025-04-12 00:40:00,American Airlines Center,Dallas Mavericks,Toronto Raptors,
1179,23,2025-04-12 01:10:00,Target Center,Minnesota Timberwolves,Brooklyn Nets,
1180,23,2025-04-12 01:10:00,Ball Arena,Denver Nuggets,Memphis Grizzlies,
1181,23,2025-04-12 01:40:00,Delta Center,Utah Jazz,Oklahoma City Thunder,
1182,23,2025-04-12 02:10:00,Footprint Center,Phoenix Suns,San Antonio Spurs,
1183,23,2025-04-12 02:10:00,Moda Center,Portland Trail Blazers,Golden State Warriors,
1184,23,2025-04-12 02:10:00,Golden 1 Center,Sacramento Kings,LA Clippers,
1185,23,2025-04-12 02:40:00,Crypto.com Arena,Los Angeles Lakers,Houston Rockets,
1186,23,2025-04-13 17:10:00,State Farm Arena,Atlanta Hawks,Orlando Magic,
1187,23,2025-04-13 17:10:00,TD Garden,Boston Celtics,Charlotte Hornets,
1188,23,2025-04-13 17:10:00,Barclays Center,Brooklyn Nets,New York Knicks,
1189,23,2025-04-13 17:10:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Indiana Pacers,
1190,23,2025-04-13 17:10:00,Kaseya Center,Miami Heat,Washington Wizards,
1191,23,2025-04-13 17:10:00,Wells Fargo Center,Philadelphia 76ers,Chicago Bulls,
1192,23,2025-04-13 17:10:00,Fiserv Forum,Milwaukee Bucks,Detroit Pistons,
1193,23,2025-04-13 19:40:00,Toyota Center,Houston Rockets,Denver Nuggets,
1194,23,2025-04-13 19:40:00,FedExForum,Memphis Grizzlies,Dallas Mavericks,
1195,23,2025-04-13 19:40:00,Target Center,Minnesota Timberwolves,Utah Jazz,
1196,23,2025-04-13 19:40:00,Smoothie King Center,New Orleans Pelicans,Oklahoma City Thunder,
1197,23,2025-04-13 19:40:00,Frost Bank Center,San Antonio Spurs,Toronto Raptors,
1198,23,2025-04-13 19:40:00,Chase Center,Golden State Warriors,LA Clippers,
1199,23,2025-04-13 19:40:00,Moda Center,Portland Trail Blazers,Los Angeles Lakers,
1200,23,2025-04-13 19:40:00,Golden 1 Center,Sacramento Kings,Phoenix Suns,
