Match Number,Round Number,Date,Location,Home Team,Away Team,Result
936,18,2025-03-11 00:10:00,Paycom Center,Oklahoma City Thunder,Denver Nuggets,
937,18,2025-03-11 00:40:00,Frost Bank Center,San Antonio Spurs,Dallas Mavericks,
938,18,2025-03-11 02:10:00,Chase Center,Golden State Warriors,Portland Trail Blazers,
939,18,2025-03-11 02:40:00,Golden 1 Center,Sacramento Kings,New York Knicks,
940,18,2025-03-11 23:10:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Brooklyn Nets,
941,18,2025-03-11 23:10:00,Little Caesars Arena,Detroit Pistons,Washington Wizards,
942,18,2025-03-11 23:10:00,Gainbridge Fieldhouse,Indiana Pacers,Milwaukee Bucks,
943,18,2025-03-12 01:40:00,Smoothie King Center,New Orleans Pelicans,LA Clippers,
944,19,2025-03-12 23:10:00,Kia Center,Orlando Magic,Chicago Bulls,
945,19,2025-03-12 23:40:00,State Farm Arena,Atlanta Hawks,Charlotte Hornets,
946,19,2025-03-12 23:40:00,TD Garden,Boston Celtics,Oklahoma City Thunder,
947,19,2025-03-12 23:40:00,Scotiabank Arena,Toronto Raptors,Philadelphia 76ers,
948,19,2025-03-13 00:10:00,Kaseya Center,Miami Heat,LA Clippers,
949,19,2025-03-13 00:10:00,Toyota Center,Houston Rockets,Phoenix Suns,
950,19,2025-03-13 00:10:00,FedExForum,Memphis Grizzlies,Utah Jazz,
951,19,2025-03-13 00:10:00,Frost Bank Center,San Antonio Spurs,Dallas Mavericks,
952,19,2025-03-13 02:10:00,Ball Arena,Denver Nuggets,Minnesota Timberwolves,
953,19,2025-03-13 02:10:00,Moda Center,Portland Trail Blazers,New York Knicks,
954,19,2025-03-13 23:10:00,Little Caesars Arena,Detroit Pistons,Washington Wizards,
955,19,2025-03-13 23:40:00,Fiserv Forum,Milwaukee Bucks,Los Angeles Lakers,
956,19,2025-03-14 00:10:00,United Center,Chicago Bulls,Brooklyn Nets,
957,19,2025-03-14 02:10:00,Chase Center,Golden State Warriors,Sacramento Kings,
958,19,2025-03-14 23:10:00,Kaseya Center,Miami Heat,Boston Celtics,
959,19,2025-03-14 23:10:00,Wells Fargo Center,Philadelphia 76ers,Indiana Pacers,
960,19,2025-03-14 23:40:00,State Farm Arena,Atlanta Hawks,LA Clippers,
961,19,2025-03-15 00:10:00,Toyota Center,Houston Rockets,Dallas Mavericks,
962,19,2025-03-15 00:10:00,FedExForum,Memphis Grizzlies,Cleveland Cavaliers,
963,19,2025-03-15 00:10:00,Target Center,Minnesota Timberwolves,Orlando Magic,
964,19,2025-03-15 00:10:00,Frost Bank Center,San Antonio Spurs,Charlotte Hornets,
965,19,2025-03-15 01:40:00,Ball Arena,Denver Nuggets,Los Angeles Lakers,
966,19,2025-03-15 01:40:00,Delta Center,Utah Jazz,Toronto Raptors,
967,19,2025-03-15 02:10:00,Footprint Center,Phoenix Suns,Sacramento Kings,
968,19,2025-03-15 22:10:00,Barclays Center,Brooklyn Nets,Boston Celtics,
969,19,2025-03-15 23:10:00,Little Caesars Arena,Detroit Pistons,Oklahoma City Thunder,
970,19,2025-03-16 00:10:00,Toyota Center,Houston Rockets,Chicago Bulls,
971,19,2025-03-16 00:10:00,FedExForum,Memphis Grizzlies,Miami Heat,
972,19,2025-03-16 00:10:00,Fiserv Forum,Milwaukee Bucks,Indiana Pacers,
973,19,2025-03-16 00:40:00,Frost Bank Center,San Antonio Spurs,New Orleans Pelicans,
974,19,2025-03-16 00:40:00,Chase Center,Golden State Warriors,New York Knicks,
975,19,2025-03-16 01:10:00,Ball Arena,Denver Nuggets,Washington Wizards,
976,19,2025-03-16 17:10:00,American Airlines Center,Dallas Mavericks,Philadelphia 76ers,
977,19,2025-03-16 19:40:00,Crypto.com Arena,Los Angeles Lakers,Phoenix Suns,
978,19,2025-03-16 22:10:00,Barclays Center,Brooklyn Nets,Atlanta Hawks,
979,19,2025-03-16 22:10:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Orlando Magic,
980,19,2025-03-16 22:10:00,Moda Center,Portland Trail Blazers,Toronto Raptors,
981,19,2025-03-16 23:10:00,Target Center,Minnesota Timberwolves,Utah Jazz,
982,19,2025-03-17 01:10:00,Fiserv Forum,Milwaukee Bucks,Oklahoma City Thunder,
983,19,2025-03-17 02:10:00,Intuit Dome,LA Clippers,Washington Wizards,
984,19,2025-03-17 23:40:00,Madison Square Garden,New York Knicks,Miami Heat,
985,19,2025-03-18 00:10:00,Toyota Center,Houston Rockets,Philadelphia 76ers,
986,19,2025-03-18 00:10:00,Target Center,Minnesota Timberwolves,Indiana Pacers,
