Match Number,Round Number,Date,Location,Home Team,Away Team,Result
1,1,2024-10-22T23:40:00Z,TD Garden,Boston Celtics,New York Knicks,132 - 109
2,1,2024-10-23T02:10:00Z,Crypto.com Arena,Los Angeles Lakers,Minnesota Timberwolves,110 - 103
3,1,2024-10-23T23:10:00Z,Little Caesars Arena,Detroit Pistons,Indiana Pacers,109 - 115
4,1,2024-10-23T23:40:00Z,State Farm Arena,Atlanta Hawks,Brooklyn Nets,120 - 116
5,1,2024-10-23T23:40:00Z,Kaseya Center,Miami Heat,Orlando Magic,97 - 116
6,1,2024-10-23T23:40:00Z,Wells Fargo Center,Philadelphia 76ers,Milwaukee Bucks,109 - 124
7,1,2024-10-23T23:40:00Z,Scotiabank Arena,Toronto Raptors,Cleveland Cavaliers,106 - 136
8,1,2024-10-24T00:10:00Z,Toyota Center,Houston Rockets,Charlotte Hornets,105 - 110
9,1,2024-10-24T00:10:00Z,Smoothie King Center,New Orleans Pelicans,Chicago Bulls,123 - 111
10,1,2024-10-24T01:10:00Z,Delta Center,Utah Jazz,Memphis Grizzlies,124 - 126
11,1,2024-10-24T02:10:00Z,Intuit Dome,Los Angeles Clippers,Phoenix Suns,113 - 116
12,1,2024-10-24T02:10:00Z,Moda Center,Portland Trail Blazers,Golden State Warriors,104 - 140
13,1,2024-10-24T23:10:00Z,Capital One Arena,Washington Wizards,Boston Celtics,102 - 122
14,1,2024-10-24T23:40:00Z,American Airlines Center,Dallas Mavericks,San Antonio Spurs,120 - 109
15,1,2024-10-25T02:10:00Z,Ball Arena,Denver Nuggets,Oklahoma City Thunder,87 - 102
16,1,2024-10-25T02:10:00Z,Golden 1 Center,Sacramento Kings,Minnesota Timberwolves,115 - 117
17,1,2024-10-25T23:10:00Z,Kia Center,Orlando Magic,Brooklyn Nets,116 - 101
18,1,2024-10-25T23:10:00Z,Scotiabank Arena,Toronto Raptors,Philadelphia 76ers,115 - 107
19,1,2024-10-25T23:40:00Z,State Farm Arena,Atlanta Hawks,Charlotte Hornets,125 - 120
20,1,2024-10-25T23:40:00Z,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Detroit Pistons,113 - 101
21,1,2024-10-25T23:40:00Z,Madison Square Garden,New York Knicks,Indiana Pacers,123 - 98
22,1,2024-10-26T00:10:00Z,Toyota Center,Houston Rockets,Memphis Grizzlies,128 - 108
23,1,2024-10-26T00:10:00Z,Fiserv Forum,Milwaukee Bucks,Chicago Bulls,122 - 133
24,1,2024-10-26T01:40:00Z,Delta Center,Utah Jazz,Golden State Warriors,86 - 127
25,1,2024-10-26T02:10:00Z,Crypto.com Arena,Los Angeles Lakers,Phoenix Suns,123 - 116
26,1,2024-10-26T02:10:00Z,Moda Center,Portland Trail Blazers,New Orleans Pelicans,103 - 105
27,1,2024-10-26T21:10:00Z,Ball Arena,Denver Nuggets,Los Angeles Clippers,104 - 109
28,1,2024-10-26T23:10:00Z,Spectrum Center,Charlotte Hornets,Miami Heat,106 - 114
29,1,2024-10-26T23:10:00Z,Little Caesars Arena,Detroit Pistons,Boston Celtics,118 - 124
30,1,2024-10-26T23:10:00Z,Capital One Arena,Washington Wizards,Cleveland Cavaliers,116 - 135
31,1,2024-10-27T00:10:00Z,United Center,Chicago Bulls,Oklahoma City Thunder,95 - 114
32,1,2024-10-27T00:10:00Z,FedExForum,Memphis Grizzlies,Orlando Magic,124 - 111
